label,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24
1,0.1089791760774987,0.2531360218719105,0.4971142944449236,0,0.3204049519594421,0.062498037721712,0.0107701458265152,0.2957789804245009,-0.0187531579162349,-0.0192765072600424,0.011591301626577,0.0296219269669143,0.0067622955261068,0.2376502484984668,0.4710462473184696,0.3164857802241126,0,0,0.6619463680237642,0.4315986119389418,-0.0007402961181306,0,0,0
1,0.1106252063828282,0.2536564602054524,0.5024520847056321,0,0.327355469943934,0.0592683672565556,0.010210647596175,0.3075707314228074,-0.0210274790886383,-0.0226041181785849,0.0081999864322136,0.031560442650433,0.0065888778008765,0.2411089443886502,0.4738270505574931,0.3176549855849905,0,0,0.6742352627265787,0.4345966468705056,0.0116709190178671,0,0,0
1,0.1157279722449996,0.2599032894792381,0.5084292220323254,0,0.3365403062586043,0.0604644590566848,0.0104904297901356,0.3263843045277873,-0.0229378135294678,-0.025466826012044,0.0089096727015008,0.0349534969190053,0.0072826414448377,0.2463798749683709,0.4802395006250104,0.3198264551419378,0,0,0.6940637086175455,0.4469133248506375,0.0002441815520792,0,0,0
10,-0.0703036986659435,0.1614729951261839,0.332602758861139,0,0.2609616537217211,0.5891537870835588,0.0941070661319628,0.1773428291813852,0.0317731985608304,0.0808193564568214,-0.0398995689155352,-0.0482208705656471,0.0544633092375105,0.0722146188809466,0.4008838102892782,0.028486946180638,0,0,0.4656950030997705,0.0569712721960563,0.0050706439761082,0,0,0
10,-0.0705636864833186,0.158705033354002,0.3324435314668894,0,0.2623532624541428,0.5721030310682357,0.0927090215816985,0.1787478945930148,0.0306088178902855,0.081574182441106,-0.0380769754505251,-0.0477251089664541,0.0537640985455147,0.0671111163149109,0.399400605354795,0.0248199212787741,0,0,0.4578748580197542,0.0507893634113427,0.0064493055162301,0,0,0
10,-0.0690903822922917,0.1651063982263907,0.3364283263797507,0,0.2648760134407276,0.5688115788400239,0.0908915552966876,0.1878292706811181,0.030877583193916,0.0827064765685483,-0.0466338297419015,-0.0481381772023815,0.0555994342014257,0.0695805187520974,0.4063484901362227,0.0268200834558619,0,0,0.4805594587854382,0.0587835038975983,0.006301574187496,0,0,0
11,-0.0978457125271259,0.1689130460788352,-0.0190408373847628,0,-0.02672210138176,0.253677898166072,0.1101892972381139,-0.0058034117269863,0.0815342263054307,0.1220002978310592,0.0578778998098353,0.0055450525650315,0.0142987229045509,0.1036716773720533,0.3887104426501064,0.2052475443463049,0,0,0.3020264366142408,0.1721240028589319,-0.0033463207483382,0,0,0
11,-0.09446966589863,0.1725469643013276,-0.0313335189606872,0,-0.0269795971180024,0.2601927013018577,0.1143857458175417,-0.0073066890077749,0.0825216528551537,0.1237400605984516,0.0538176354841013,0.0084439831657829,0.014037015495062,0.1003766639130436,0.3869161293763697,0.2005419396416573,0,0,0.2906965875180164,0.1594957498627864,0.0038397390474919,0,0,0
11,-0.0878028945920763,0.1751427149853136,-0.03430767339393,0,-0.0310146199242716,0.2034682444317417,0.0963442267512389,-0.0097761826287235,0.0832396563073712,0.1289605811250462,0.0500766076866563,0.0085267346470918,0.014473196201145,0.0957640698566237,0.388944475581082,0.196593385245665,0,0,0.2844783502407747,0.147728945207504,0.003347411081227,0,0,0
12,-0.1001825343887092,0.1699512785443343,0.4696545192892298,0,-0.0338472822223454,0.1810637018836514,-0.0026550064768479,0.0094487030799433,-0.0719764213088743,-0.0630399389119743,0.0047611263886662,0.0231931284571026,-0.0030546117267694,0.118831996852617,0.41634536459339,0.2070964557216142,0,0,0.4181361802134419,0.1756566648551362,-0.0005413930163688,0,0,0
12,-0.0966338027304179,0.1787772198140613,0.4759937860568895,0,-0.0328172650868217,0.2113660552299384,-0.0025155641139012,0.0126721549066616,-0.0745620545266078,-0.0616912296657637,-0.000797027778825,0.0244365872121975,-0.0028801877729279,0.1236119028673522,0.4204079686407425,0.2093657087990392,0,0,0.4317483015227236,0.183687120268174,-0.0002952120670228,0,0,0
12,-0.0952487792536323,0.1827581115304242,0.4784818226366744,0,-0.0307571710523995,0.2380945190337348,-0.0012605587474652,0.0156809486309375,-0.075542616051331,-0.0594432934228507,-0.003575615922151,0.0265089634574953,-0.0032289492032316,0.1259196341228023,0.4225177249841739,0.2102063459854453,0,0,0.4384451542281468,0.1867928547117314,0.0109806786939308,0,0,0
13,-0.0735100888600519,0.1701243196128167,0.2588622773034317,0,0.2743603092259155,0.3271673993986316,0.1142459224254071,0.1702099744803363,0.0630519270478696,0.1429643685210755,0.0626555430800227,0.002232470939228,0.0247695147059072,0.2158527904982449,0.3611137392499213,0.2817734597055744,0,0,0.4814536907234329,0.4360621920197174,0.002362717288645,0,0,0
13,-0.0734233533659949,0.1690860831629478,0.2580682596320466,0,0.271662530540068,0.3230865225250327,0.1141060312647917,0.1698857970881926,0.0612582190688818,0.1413742407023744,0.0602666209927285,0.0028948652762544,0.0245077707850663,0.212218733225222,0.3597117006021977,0.2806771157287294,0,0,0.4772059273493726,0.4284985053673756,0.0018704476121392,0,0,0
13,-0.0731633987324026,0.1687400096587774,0.2580682596320466,0,0.2707923489076554,0.3214542811167561,0.1135464720036218,0.1702099744803363,0.0602718747003524,0.1409956580488676,0.0591518497640154,0.0033918160424652,0.0244204950775804,0.211062613002033,0.3591664309135059,0.2805084523626561,0,0,0.4760881704536693,0.4259057152092014,-0.0031003873716837,0,0,0
14,-0.071776923074203,0.22934334061485,0.2471140619688205,0,0.2367078556763948,0.1765382748171082,0.0661550899949027,0.1658879186018666,0.0245197117072556,0.0522331171765818,0.0462567667129179,0.0033090035899996,0.0218895614858135,0.1694600806507882,0.4301772395930822,0.2102904032974177,0,0,0.4887213527816677,0.3827280281763898,-0.0003937427060893,0,0,0
14,-0.0706504330493009,0.238700738101946,0.2580682596320466,0,0.2367948243195678,0.1817598512016229,0.0683903944327254,0.1749650085561197,0.0197747472853274,0.055248143177335,0.0468137937971533,0.0038058831233629,0.0200570557615476,0.1757309004938005,0.4433145471997118,0.2129804102585117,0,0,0.5029263350678265,0.4021497398437749,-0.000147654971403,0,0,0
14,-0.0695237171114782,0.2400871967974515,0.2653743931573049,0,0.2392277080393131,0.1828042754288588,0.0699273611168034,0.1791802691109846,0.0190587114636531,0.0563788990055676,0.0446653442728642,0.0057106951391563,0.0193590827842233,0.1778763910602428,0.4454267338970284,0.2130644783819815,0,0,0.5095278874088299,0.4068992046131013,0.0010336337449521,0,0,0
15,-0.1178313648182941,0.0695265683725462,0.254733724314961,0,0.1496470480715317,0.2132245519401661,0.0352929964966065,0.034063033140469,-0.0113560279317707,0.0365625486255502,-0.0070679875534903,-0.0300382849779366,0.0218895614858135,0.0587165642661802,0.2766917102492087,0.1674636515330726,0,0,0.1760965212245803,0.1145944727507461,0.009699837385103,0,0,0
15,-0.1152367490952339,0.0790236250319088,0.2704584709446698,0,0.1704274060208505,0.2510024707130496,0.0373869431655745,0.0517042409983005,-0.0075116691523862,0.0447729467996397,-0.0123055428705809,-0.0282191816984407,0.0219769126042877,0.0674404314267964,0.2905042422305738,0.174008116201636,0,0,0.2117351163986686,0.1326532272611418,0.0118180638128717,0,0,0
15,-0.1154097272041028,0.0793689259578239,0.2698228916445684,0,0.1706873689217897,0.2590291264617909,0.0405977913064796,0.0527801742253826,-0.0061705505330908,0.0430401874625483,-0.0121469262751272,-0.0268961000581747,0.0220640936194525,0.0677696686850307,0.2901161183575863,0.1733367975773282,0,0,0.2130642333325691,0.1316912264805702,0.0026581845702751,0,0,0
16,-0.0994902276302839,0.1348376866037456,0.3710505084323467,0,-0.0250906945205944,0.2738084289849327,0.0859988284168992,0.0110604348209606,0.0011628393892662,0.0450743120871015,-0.0778201363489618,0.1258907829599233,0.0466867612678224,0.0923049494982038,0.3282661793743472,0.1523686232766255,0,0,0.3466113203320726,0.147301151944577,-0.0008859036098118,0,0,0
16,-0.0916126849845138,0.1443484359650462,0.3820717500358201,0,-0.0268938214364671,0.2778827419148345,0.0924294054699373,0.0091263889081836,0.0044725309465737,0.048766344158598,-0.0805881907458365,0.1312219902128733,0.0504436346918027,0.09691717191339,0.332699913401007,0.1544645225729935,0,0,0.3585197585696251,0.1558582750169934,0.0022150343458583,0,0,0
16,-0.0989708355965652,0.1331085752602767,0.3436829392815531,0,-0.0340190309121076,0.2859165754869703,0.0777525792641211,-0.0070918352216231,-0.0016097804142661,0.048841774177889,-0.0652406093770306,0.0427639987665122,0.0570851371661178,0.0881873124421573,0.3230560419641256,0.1528716205090756,0,0,0.3218086770600659,0.1485845515909598,0.0064001577250572,0,0,0
17,-0.0895346517206504,0.1749696546573775,0.3392182561097893,0,0.0548233008105613,0.4678912358055164,0.0812464559889414,0.1248617205155907,-0.0499430344623872,-0.0061656058457132,-0.0915776930251548,0.1791783485110236,0.0709864581531711,0.1297110956200158,0.3898804824899225,0.1715746856812068,0,0,0.4819009808854958,0.202862670000375,0.0053167433655436,0,0,0
17,-0.0893614735777372,0.1827581115304242,0.3409722777033728,0,0.0391447196666192,0.4362764052111905,0.0826441962639894,0.1152615568602174,-0.0547617797013418,-0.0178091949739605,-0.0912614560888336,0.1843558009542188,0.0746598292477108,0.1328435719800035,0.3924553002655246,0.1709873470675598,0,0,0.4935301281581326,0.2060777322060231,0.0109313206216572,0,0,0
17,-0.0891883786562689,0.1822388448551342,0.3466333565888699,0,0.0425033997241791,0.3823734965352355,0.0794295626939189,0.1195758865317729,-0.0594904831758869,-0.0298211017871393,-0.0914195365760023,0.188030741258288,0.0739601625088069,0.1331732306467363,0.3926111989178078,0.1714906972450775,0,0,0.4953196452046158,0.2073638616666281,-0.0012795222301506,0,0,0
18,-0.1302809294469797,0.1014791759876786,0.0621842842316208,0,0.0110026664193028,0.1846611192938253,0.0788706051137365,0.0353534669065338,0.0025044617365245,0.0304634256581679,-0.0646073911434977,0.0896078601019984,0.0499192968577312,0.0888460274114204,0.3505997207161162,0.16545036991655,0,0,0.253406849891667,0.1491192145785471,0.0049228328038165,0,0,0
18,-0.1303672761386919,0.0966415655757953,0.0635997115528315,0,0.0126368505896021,0.1826883398277102,0.078591095427295,0.0392252318615303,-0.000268319083087,0.0270758955045612,-0.0680103701534227,0.0929339328928181,0.0496571751795904,0.0865402877832541,0.3477970744226031,0.1641920825176321,0,0,0.2517432560098941,0.1468732608613557,-0.0031494975503348,0,0,0
18,-0.1304537913069195,0.0942229973188297,0.06509396232085,0,0.0139271650089734,0.1804834953444686,0.0780320825024982,0.0423443552537437,-0.001878080800198,0.0260974596151476,-0.0690389654628685,0.0945141184339765,0.0493076843526878,0.0860462972467082,0.3467848979729715,0.1639405321491179,0,0,0.2509669452683237,0.1460178118691687,0.0076804679549757,0,0,0
19,-0.1010480778949516,0.1265389622478369,0.3396965681803395,0,0.2458325876288685,0.004388115342435,0.0083625904637206,0.1531417495676239,-0.0061705505330908,0.0285061136594743,-0.0064330411717334,0.0183032112640848,0.0132519115211607,0.1142174199508337,0.3516120916578248,0.2178568209743101,0,0,0.2946949165691429,0.1777979962679486,-0.0061015193957696,0,0,0
19,-0.1019999596298169,0.1255017291364902,0.2753054169469354,0,0.175538902775459,0.0639733915120336,0.0601481390085751,0.117742259679481,0.0347289754780743,0.0592437024376398,0.0290758714462357,0.0224471365167837,0.0181374478216867,0.117843036725876,0.3330109272274102,0.2085252685373022,0,0,0.2991380381762658,0.1655951182594041,-0.0048224918191137,0,0,0
